Time (s),z3_pro_1,z3_pro_2,z3_pro_3,z4_pro_1,z4_pro_2,z4_pro_3,z3_none_1,z3_none_2,z3_none_3,z4_none_1,z4_none_2,z4_none_3
20698s,0.27515,0.2767,0.27108,0.27176,0.26661,0.26636,0.28881,0.24738,0.27112,0.27223,0.26203,0.25571
20998s,0.28082,0.28141,0.27593,0.27806,0.27208,0.27039,0.29316,0.25804,0.28121,0.28564,0.27358,0.26653
21298s,0.28573,0.29169,0.2796,0.28293,0.27784,0.27644,0.29638,0.26029,0.28337,0.28602,0.27197,0.26916
21598s,0.29267,0.29374,0.28623,0.28741,0.28376,0.28245,0.30607,0.26696,0.29022,0.29804,0.28291,0.27488
21898s,0.29981,0.30223,0.29215,0.29524,0.28991,0.28693,0.31494,0.27206,0.29714,0.30164,0.28757,0.28546
22198s,0.30439,0.30572,0.29607,0.30101,0.29582,0.29564,0.32054,0.28107,0.30798,0.31304,0.29755,0.29343
22498s,0.31385,0.3135,0.30241,0.30807,0.30226,0.30118,0.32527,0.28164,0.3115,0.31577,0.30181,0.29673
22798s,0.32192,0.31997,0.31014,0.31437,0.31101,0.31218,0.33545,0.29128,0.32207,0.3245,0.3135,0.30795
23098s,0.32667,0.32645,0.31817,0.32452,0.31888,0.31644,0.34227,0.29473,0.32252,0.32592,0.31506,0.31297
23398s,0.33378,0.33371,0.32372,0.32866,0.3281,0.32165,0.34657,0.30079,0.3317,0.33284,0.32026,0.31301
23698s,0.34084,0.34057,0.32839,0.33992,0.33396,0.33024,0.35881,0.31439,0.34212,0.34781,0.33853,0.32977
23998s,0.34563,0.34782,0.33672,0.34368,0.34176,0.33681,0.3683,0.31691,0.35074,0.35315,0.339,0.33048
24298s,0.35586,0.35515,0.34368,0.35232,0.34705,0.34527,0.37586,0.32671,0.35947,0.36586,0.35244,0.34051
24598s,0.36304,0.3607,0.35359,0.36021,0.3544,0.35542,0.38248,0.33354,0.36533,0.37165,0.35978,0.34932
24898s,0.37005,0.36921,0.36388,0.37022,0.36462,0.36078,0.39367,0.34025,0.37387,0.38057,0.36864,0.35973
25198s,0.37985,0.37689,0.36782,0.37261,0.37168,0.36916,0.39971,0.34478,0.37976,0.38508,0.37274,0.36076
25498s,0.38839,0.38493,0.37701,0.38303,0.37777,0.37643,0.40849,0.35312,0.38891,0.40143,0.38331,0.37149
25798s,0.39655,0.39586,0.38502,0.3924,0.39039,0.382,0.41596,0.35991,0.3958,0.40224,0.38223,0.37384
26098s,0.40703,0.40616,0.39671,0.4014,0.39917,0.39287,0.43007,0.36934,0.40429,0.41194,0.39551,0.38689
26398s,0.41495,0.41113,0.40036,0.40818,0.40579,0.40001,0.44061,0.38348,0.41652,0.43141,0.41231,0.40599
26698s,0.42158,0.42011,0.41144,0.42214,0.41717,0.41073,0.44718,0.38873,0.42697,0.43558,0.42241,0.40916
26998s,0.43364,0.43026,0.4202,0.43215,0.4273,0.42152,0.458,0.39748,0.434,0.447,0.43351,0.41987
27298s,0.44098,0.43756,0.42663,0.43517,0.43392,0.42727,0.46828,0.40441,0.44244,0.45625,0.4409,0.4294
27598s,0.44996,0.45025,0.43882,0.44865,0.44959,0.43887,0.47813,0.41509,0.45404,0.46863,0.44824,0.43852
27898s,0.45925,0.4618,0.4475,0.46061,0.4548,0.44766,0.4879,0.42168,0.46679,0.47816,0.45708,0.44303
28198s,0.47011,0.46705,0.45187,0.46995,0.46767,0.4612,0.50057,0.43311,0.4728,0.48553,0.46909,0.45388
28498s,0.4788,0.47799,0.46574,0.47743,0.4783,0.47104,0.50948,0.44072,0.48246,0.49621,0.48069,0.46885
28798s,0.49051,0.49012,0.47435,0.48638,0.49062,0.47907,0.52287,0.448,0.49415,0.5108,0.49391,0.47924
29098s,0.5042,0.50201,0.48916,0.50677,0.50381,0.49427,0.53299,0.45551,0.50134,0.51329,0.49403,0.48513
29398s,0.5115,0.51128,0.49362,0.51032,0.50969,0.49814,0.54762,0.46874,0.51032,0.53043,0.51179,0.50017
29698s,0.51643,0.51538,0.50402,0.51918,0.51934,0.51444,0.55476,0.47855,0.52214,0.53593,0.51623,0.50511
29998s,0.5303,0.52922,0.51418,0.53304,0.53273,0.5257,0.56688,0.48848,0.53955,0.55482,0.53577,0.52063
30298s,0.54338,0.53941,0.52393,0.54255,0.54398,0.53335,0.57746,0.50008,0.54896,0.56251,0.54991,0.53684
30598s,0.55406,0.55307,0.53828,0.55652,0.55847,0.54571,0.588,0.50419,0.55746,0.57354,0.5599,0.54261
30898s,0.56838,0.56203,0.54947,0.56807,0.56827,0.55457,0.59683,0.51392,0.56261,0.58174,0.5618,0.54522
31198s,0.57844,0.57274,0.56064,0.57872,0.57904,0.56421,0.60832,0.52762,0.57753,0.5932,0.57584,0.55593
31498s,0.58484,0.58122,0.56564,0.58865,0.58718,0.57785,0.62373,0.53853,0.59146,0.61356,0.59003,0.57501
31798s,0.59733,0.59456,0.57815,0.59763,0.59572,0.58794,0.63494,0.55039,0.60551,0.62521,0.60459,0.58714
32098s,0.61026,0.60562,0.5904,0.60865,0.61124,0.60328,0.6461,0.56405,0.61394,0.63085,0.61719,0.60106
32398s,0.61504,0.61071,0.59907,0.62204,0.62398,0.61187,0.65736,0.57263,0.62838,0.64669,0.62774,0.60964
32698s,0.62727,0.62305,0.60921,0.62819,0.63092,0.62054,0.66875,0.57976,0.6357,0.65859,0.64139,0.61918
32998s,0.64387,0.63701,0.62411,0.64762,0.64851,0.63233,0.67885,0.59419,0.64738,0.66985,0.6479,0.63042
